adam预测值,adam真实值
34.24887466430664,13.0
14.59184741973877,9.0
22.394535064697266,16.0
29.0010986328125,46.66666793823242
36.15267562866211,20.0
15.362241744995117,15.0
23.75531005859375,40.0
35.09812927246094,17.33333396911621
42.492122650146484,80.0
19.990873336791992,16.25
22.130340576171875,21.66666603088379
21.98727798461914,23.33333396911621
19.11048698425293,50.0
14.59184741973877,13.0
35.34515380859375,15.0
33.157833099365234,16.0
22.68160057067871,28.16666603088379
19.427228927612305,11.0
29.691593170166016,53.33333206176758
16.257322311401367,40.0
14.59184741973877,15.0
29.008010864257812,35.0
24.45374298095703,30.0
34.661216735839844,20.0
24.220386505126953,25.0
54.33535385131836,37.5
48.7828369140625,40.0
34.023231506347656,12.0
43.95655822753906,14.0
25.499713897705078,12.0
23.084922790527344,33.83333206176758
25.68018341064453,30.0
29.853073120117188,30.0
