训练集loss,测试集loss
155.79772320915671,133.80084143744574
143.85534062105066,128.61292351616754
142.26634014354033,136.02741241455078
146.4998446071849,129.05516815185547
145.7809336045209,131.10486941867404
161.11490406709558,160.04430982801648
149.26947818082922,130.0936770968967
174.4331398010254,137.772332933214
179.93626336490408,142.90540313720703
145.94141847947066,144.5718256632487
143.59703523972456,143.92742496066623
145.8355510936064,145.55830468071832
151.97821493709787,205.30442131890192
169.2355946933522,132.63253868950738
155.11559048820945,162.65254550509982
151.20566536398496,128.32444678412543
148.1115691241096,133.97182846069336
152.06059478310976,143.60009935167102
155.313325881958,130.28910234239368
153.31677739760454,145.30670674641928
146.93580335729263,131.80233849419488
161.37124454273896,129.79134029812283
154.1829625297995,136.74598185221353
156.29317048016716,199.53623962402344
156.68684297449448,174.9246080186632
175.02618565278894,175.66688368055554
149.23013922747444,132.37791866726346
163.65503647748162,150.84479268391928
154.25412761463838,157.78709072536893
170.05625904307647,162.0303166707357
165.39963666130515,144.81130048963757
145.71637075087602,141.53852081298828
148.9304313659668,131.63544294569226
151.00567896225874,170.7077924940321
154.1964593775132,130.14117092556424
141.41285615808823,147.70850541856555
153.2418715533088,137.87181515163846
167.43905022565056,150.9384519788954
172.85208937701057,150.41901312934027
149.09819821750418,128.97942648993597
145.59289461023667,130.00494893391928
145.72399520874023,190.75638665093317
168.43992502549116,137.22735680474176
144.5365109163172,134.15291765001086
146.08311193129595,131.2939020792643
148.3431542340447,133.94066704644098
153.36252975463867,150.5787879096137
158.03742386313047,168.0091586642795
147.4277276431813,135.01241387261285
142.3027458190918,128.12300703260632
141.63794741911047,130.02826012505426
139.95596380794748,193.66531965467664
174.02479317609001,139.63243781195746
148.13020234949448,169.82286834716797
152.85093587987564,129.8248519897461
143.04976878446692,138.88924916585287
143.9582016888787,128.38198004828558
149.20648541170007,128.6101506551107
149.7024414960076,139.0558581882053
154.58022689819336,136.43438975016275
152.51015483631807,126.73683971828885
144.43578237645767,141.60703701443143
147.64461764167336,178.14357588026257
155.8919199775247,133.99197048611111
167.1877587262322,132.54725646972656
148.01806057200713,132.01019626193576
148.1200330397662,152.3713404337565
152.12997571159812,128.12700653076172
144.56755043478574,137.41188473171658
142.6013492976918,129.02681816948785
149.32018616620232,128.8860583835178
152.47911385928884,201.3351576063368
160.0025307150448,131.13479953342014
152.061341678395,145.597779168023
157.37165092019472,127.95199245876736
148.20057723101448,137.04737514919705
548.329589619356,500.1161159939236
536.6119272568646,459.7130872938368
446.5166109870462,152.785275777181
204.2679656533634,129.48060692681207
168.64787786147173,156.51526048448352
150.91405397302964,130.29517364501953
151.5039405822754,128.2636515299479
152.66344407025505,129.5518035888672
147.4540490543141,135.56745062934027
148.21169191248276,132.46275922987195
145.6434366562787,130.77564578586154
204.0387081819422,135.32130432128906
157.87771202536192,129.93870459662543
150.68859616447898,129.48074086507162
161.84847685870002,155.20534345838757
160.12246165556067,159.1973639594184
176.115493998808,127.2459487915039
160.02923912160537,163.42252688937717
178.63073842665727,136.88194953070746
150.87812648100012,156.71911197238498
161.5027884315042,130.54542032877603
144.99939357533174,131.11973487006293
155.09080550249885,133.10270606146918
172.470703125,157.26053110758463
163.3708401848288,136.5039494832357
145.60269097720877,157.289666917589
150.9863550522748,132.67586263020834
144.4654915753533,141.77558135986328
150.768045537612,132.4144812689887
147.88164284650017,150.47572665744357
155.87540031881895,148.25164201524524
157.6225866429946,173.6178699069553
154.1879321827608,139.46194797092014
160.54231037813074,135.76550462510852
159.15353965759277,151.83299340142145
150.2569122314453,145.6416219075521
149.06003144208123,165.5970950656467
145.97581908282112,131.15320587158203
148.75897777781768,131.70728047688803
155.52726768044863,151.33841790093317
159.01322555541992,164.63080512152777
149.8154313704547,157.63384246826172
146.75557910694795,129.95494333902994
155.3748368655934,128.28126102023654
150.44633719500374,129.9792717827691
145.4422607421875,133.16970486111111
141.64151573181152,130.46139356825086
147.0518238965203,145.64951494004993
159.32294957778032,128.972289191352
148.45423126220703,146.82242160373264
150.70032748054055,130.1838896009657
155.12097347483916,154.48715549045139
175.09222928215476,127.10405392116971
152.2094995835248,140.84257168240018
149.97659974939683,144.19363318549262
141.84297954334932,140.81999715169272
155.4343447965734,135.7362263997396
145.32742231032427,138.37701416015625
143.5929385914522,130.21328820122613
149.67983896592085,139.83243391248914
142.89056957469268,148.8336919148763
165.6037135404699,206.11349487304688
163.7669718125287,143.61629655626086
147.51569478652056,139.01173316107855
152.64429743149702,130.1991458468967
141.09107814115637,130.45555284288196
144.12906040864831,147.1930414835612
150.35114781996782,189.570797390408
159.19418447157915,140.29136318630643
144.85922375847312,133.72013685438367
148.26834947922652,129.92963239881726
164.88639248118682,128.5203569200304
160.070483936983,146.15673149956598
166.39140387142405,159.21585930718317
161.37887416166419,181.6380089653863
149.79308049819048,134.6810268825955
162.5105718724868,146.49888526068793
