xgb预测值,xgb真实值
10.28864,16.25
7.7347603,7.583333333333332
19.622036,26.66666666666667
9.973628,10.0
17.883762,20.0
17.883762,40.0
9.973628,11.666666666666664
9.123919,10.0
16.996782,37.5
13.4381485,6.5
12.701252,16.0
9.664202,7.0
22.125134,16.25
10.558731,13.0
11.065903,18.0
10.128805,13.0
27.665697,28.0
11.3915205,13.0
8.739775,15.0
10.674491,9.75
14.79211,17.5
13.8487625,10.0
13.291866,20.0
8.739775,13.0
13.884451,12.0
15.869387,19.5
10.625325,14.0
8.847926,13.0
17.883762,12.0
13.884451,12.0
6.973163,13.0
20.268145,35.0
15.213995,12.0
10.895158,15.0
8.192171,18.666666666666668
11.794819,20.0
8.847926,11.0
8.679961,11.0
9.864627,11.0
18.195427,18.75
10.659725,15.0
9.088447,10.0
8.71483,8.0
9.445302,5.0
17.44074,33.333333333333336
11.169753,12.0
11.065903,8.0
14.581847,11.0
8.066837,10.0
10.558731,14.083333333333336
9.973628,8.0
9.815156,8.0
13.879299,20.0
13.525948,26.66666666666667
10.345727,15.0
14.315653,13.0
10.83019,10.0
9.319031,3.0
16.363897,26.66666666666667
12.303339,9.75
9.973628,15.0
15.158571,15.0
9.67294,12.0
9.111969,13.0
8.634394,21.66666666666667
17.44074,30.0
8.959928,8.0
10.547436,21.66666666666667
9.445302,10.833333333333336
12.0293865,6.0
8.959928,11.0
9.973628,9.75
11.021313,15.0
7.605039,6.0
15.158571,26.66666666666667
9.431014,13.0
9.123919,9.0
10.446731,10.0
9.431014,16.25
14.41358,20.0
8.317175,21.66666666666667
12.247094,5.0
11.065903,26.66666666666667
9.815156,10.0
6.2749467,4.0
12.247094,40.0
10.134717,17.5
14.215527,31.25
7.8430734,9.0
9.815156,8.0
22.352474,20.0
10.186352,14.083333333333336
7.4513946,6.5
5.239177,7.583333333333332
6.953448,5.0
9.382039,8.0
12.247094,15.0
7.3802915,7.0
7.401054,10.0
13.687391,17.5
15.158571,20.0
11.606571,12.5
19.622036,26.66666666666667
9.815156,13.0
14.137639,22.66666666666667
6.2910247,7.0
13.213236,25.0
7.401054,8.0
12.372473,12.0
5.0471606,6.0
10.83019,18.75
9.123919,10.833333333333336
11.030619,16.25
7.9346356,5.416666666666668
14.41358,16.25
10.819036,30.33333333333333
11.065903,8.0
10.446731,13.0
4.8874483,9.0
18.195427,25.0
9.159561,10.0
9.815156,33.333333333333336
7.4513946,6.0
16.363897,32.5
9.815156,15.0
13.687391,15.0
12.18359,8.0
14.100593,20.0
8.066837,9.0
13.213236,8.0
13.08201,18.0
11.972444,12.0
8.664577,13.0
7.8487434,10.0
7.7273216,9.0
10.547436,11.0
9.973628,7.0
12.644923,12.0
16.196861,12.0
5.0471606,9.75
7.7347603,9.75
7.433098,6.0
13.687391,13.0
15.39848,18.75
13.70167,11.0
14.581847,25.0
7.0662436,11.0
14.581847,16.25
14.948767,15.0
10.558731,17.5
13.879299,35.0
20.343683,40.0
6.626034,8.0
8.847926,13.0
16.363897,26.66666666666667
6.4430933,11.0
7.7347603,7.0
13.4381485,12.833333333333336
4.9522777,9.0
11.827604,15.0
11.065903,16.25
13.627956,8.0
6.4430933,4.0
10.7072735,11.0
10.558731,23.33333333333333
15.667053,13.0
6.6185,10.0
13.334578,28.0
21.06688,13.0
21.248056,40.0
9.634952,10.833333333333336
10.558731,13.0
10.134717,12.833333333333336
10.128924,25.0
6.973163,7.583333333333332
18.220324,10.0
13.007571,11.0
10.547436,14.083333333333336
9.815156,6.0
12.474382,26.66666666666667
9.111969,20.0
9.644411,10.0
12.247094,17.5
13.496021,15.0
15.164615,15.0
13.687391,15.0
38.359726,25.0
13.213236,25.0
12.58998,8.0
21.844439,9.0
8.602407,8.0
12.644923,29.16666666666667
11.065903,15.0
12.247094,15.0
7.63948,10.833333333333336
6.857416,8.0
10.674491,6.5
10.4982815,15.0
7.9579186,10.833333333333336
20.997044,37.5
12.172277,11.0
7.82293,10.0
7.349984,4.333333333333333
19.205643,14.0
12.440732,16.25
9.815156,8.0
5.853571,20.0
10.558731,13.0
10.558731,10.833333333333336
13.463875,6.5
12.448833,15.0
6.140313,8.0
10.727758,19.83333333333333
12.795022,23.33333333333333
11.794819,17.5
4.864044,3.0
13.411354,15.0
17.9614,25.0
12.701252,17.5
9.814792,15.166666666666664
9.815156,8.0
15.983377,15.0
10.558731,11.0
12.644923,14.0
9.905042,10.0
9.149647,5.833333333333332
8.164455,11.25
10.446731,16.25
13.879299,10.0
10.494164,13.0
7.3141003,5.0
13.884451,17.5
9.111969,15.0
9.445302,15.0
12.238123,25.0
9.802883,9.75
9.858715,12.0
24.630814,15.0
13.879299,11.0
6.6185,4.333333333333333
19.205643,53.33333333333334
9.290205,10.0
10.727758,8.0
11.33927,18.75
13.884451,12.0
24.347698,40.0
15.635482,25.0
12.925606,16.0
6.842479,6.0
6.207339,11.0
6.2749467,8.0
9.905042,8.0
10.228232,12.0
9.111969,20.0
15.517664,11.916666666666664
10.558731,11.0
8.71483,8.0
14.581847,25.0
9.905042,10.833333333333336
6.0352397,5.0
9.905042,11.0
7.3975763,11.0
4.9046855,9.0
9.285335,9.0
8.959928,17.0
13.879299,18.0
5.0471606,5.0
15.164615,13.0
10.786979,15.0
13.70167,18.0
6.7493987,10.0
9.644411,10.833333333333336
13.879299,16.0
7.401054,4.0
14.79211,13.0
9.905042,8.0
11.827604,18.75
10.558731,11.0
8.664577,11.0
9.43754,6.5
12.8461275,15.0
14.450113,8.0
13.037898,18.0
5.0471606,5.0
13.525948,16.0
13.213236,18.0
10.446731,20.0
10.83019,13.0
9.204381,8.0
9.137011,5.0
23.531141,20.0
16.971846,26.66666666666667
9.905042,8.666666666666666
16.03646,13.0
10.547436,11.0
10.727758,17.5
9.256728,7.0
14.581847,23.0
14.386156,21.66666666666667
9.884907,8.666666666666666
8.456198,10.0
14.581847,22.5
13.976195,12.0
4.788141,4.0
11.918372,12.0
6.6185,8.0
18.466866,18.0
10.289108,8.666666666666666
16.654333,17.5
11.065903,10.0
17.675339,20.0
7.9579186,8.0
10.367564,12.0
24.964775,17.5
7.409381,6.5
11.606571,11.916666666666664
7.870862,8.0
7.427004,6.0
18.05921,31.25
6.406996,4.0
11.100264,7.0
6.953448,15.0
6.791007,5.0
15.227228,45.0
11.794819,10.0
7.7347603,10.0
6.6170707,8.666666666666666
10.366683,12.0
13.525948,15.0
13.540226,24.5
12.247094,17.333333333333332
9.342114,10.0
11.24305,10.0
12.247094,20.0
13.879299,10.833333333333336
10.134717,17.5
14.543066,16.25
10.296771,10.0
3.1390443,7.583333333333332
7.401054,5.416666666666668
9.973628,10.833333333333336
5.4578524,8.0
14.120952,13.75
25.22205,53.33333333333334
7.3975763,10.0
9.159561,6.5
15.158571,33.333333333333336
20.343683,31.25
10.674491,10.0
13.879299,20.0
10.558731,20.0
10.075192,10.0
9.159561,8.666666666666666
9.159561,16.25
9.815156,8.0
13.406199,6.0
9.609406,12.0
9.973628,10.0
8.71483,10.0
4.9995685,5.0
10.7072735,15.0
7.349984,7.583333333333332
9.123919,13.0
14.386156,10.833333333333336
19.385517,12.833333333333336
6.892926,7.0
10.12891,12.0
10.227155,15.0
13.884451,14.0
11.971558,15.0
9.123919,8.0
13.525948,16.25
16.03646,31.25
8.571724,10.833333333333336
9.840884,8.0
10.128805,11.0
12.209137,12.0
7.63948,8.0
7.7347603,8.0
17.491493,14.083333333333336
10.558731,10.833333333333336
14.100593,25.0
9.815156,11.0
10.555794,18.75
7.89659,10.0
11.971558,10.833333333333336
5.239177,7.583333333333332
11.191213,26.66666666666667
11.100264,10.0
21.79406,14.083333333333336
8.576679,21.66666666666667
11.066953,15.0
11.613439,15.0
10.507171,9.0
5.1868024,4.0
9.67294,8.0
13.291866,10.833333333333336
10.558731,11.0
8.959928,11.0
13.525948,15.0
10.366683,15.0
13.879299,16.333333333333332
8.486901,15.0
10.446731,13.0
9.817697,7.583333333333332
8.164455,8.666666666666666
10.828589,10.833333333333336
12.0293865,14.0
12.448833,8.0
9.928092,4.0
10.128924,13.0
9.111969,17.333333333333332
14.581847,15.0
13.190071,15.0
9.111969,17.5
10.674491,11.0
9.973628,11.0
10.3809805,25.0
8.959928,8.0
6.3594036,8.0
23.531141,24.91666666666667
11.066953,10.0
7.9346356,18.0
13.382469,16.0
10.674491,11.666666666666664
7.7273216,12.833333333333336
6.5224066,6.0
14.581847,21.66666666666667
